created_at,created_by,updated_at,updated_by,name,division_id,bn_name,short_name,remarks
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Comilla,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Feni,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Brahmanbaria,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Rangamati,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Noakhali,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chandpur,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Lakshmipur,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chattogram,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Coxsbazar,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Khagrachhari,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bandarban,1,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Sirajganj,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Pabna,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bogura,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Rajshahi,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Natore,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Joypurhat,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chapainawabganj,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Naogaon,2,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Jashore,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Satkhira,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Meherpur,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Narail,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chuadanga,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Kushtia,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Magura,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Khulna,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bagerhat,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Jhenaidah,3,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Jhalakathi,4,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Patuakhali,4,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Pirojpur,4,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Barisal,4,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bhola,4,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Barguna,4,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Sylhet,5,null,null,null
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Moulvibazar,5,null,null,null
